time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
38.53,2403.65,3588.34,-598304.22,151.39,87.12716674804688,1.0,314154.25,9584.91
39.05,2483.13,3715.7,-598296.25,154.4,87.00250244140625,1.0,313278.91,9872.01
39.57,2564.16,3845.97,-598288.11,157.44,86.88516235351562,1.0,312403.56,10160.83
40.09,2646.78,3979.16,-598279.65,160.49,86.75418090820312,1.0,311528.25,10451.1
40.61,2727.72,4110.03,-598271.0,163.45,86.62686157226562,1.0,310686.56,10731.43
41.11,2813.46,4249.09,-598261.69,166.56,86.49114990234375,1.0,309811.25,11024.08
41.63,2900.81,4391.2,-598251.93,169.68,86.33966064453125,1.0,308935.88,11317.54
42.17,2993.24,4542.02,-598241.16,172.95,86.2003173828125,1.0,308026.88,11622.91
42.69,3080.39,4684.7,-598230.96,176.01,86.06369018554688,1.0,307185.22,11906.05
43.19,3172.65,4836.17,-598219.78,179.21,85.89263916015625,1.0,306309.88,12200.57
43.71,3262.91,4984.81,-598208.43,182.3,85.73284912109375,1.0,305468.22,12483.53
44.21,3358.43,5142.57,-598196.05,185.55,85.60073852539062,1.0,304592.88,12777.41
44.73,3451.85,5297.39,-598183.97,188.7,85.45941162109375,1.0,303751.22,13059.46
45.23,3550.67,5461.64,-598170.75,191.99,85.27499389648438,1.0,302875.84,13351.81
45.75,3647.3,5622.71,-598157.33,195.18,85.10263061523438,1.0,302034.19,13631.65
46.26,3749.47,5793.56,-598142.74,198.53,84.964111328125,1.0,301158.84,13921.22
46.77,3849.34,5961.12,-598128.53,201.77,84.81246948242188,1.0,300317.19,14198.11
47.27,3954.91,6138.78,-598112.97,205.17,84.6119384765625,1.0,299441.84,14483.96
47.79,4062.23,6319.93,-598096.55,208.59,84.42193603515625,1.0,298566.5,14767.28
48.31,4167.09,6497.48,-598080.14,211.9,84.2818603515625,1.0,297724.84,15037.21
48.81,4277.88,6685.73,-598062.8,215.38,84.10830688476562,1.0,296849.5,15315.16
49.33,4390.45,6877.6,-598044.56,218.88,83.89190673828125,1.0,295974.16,15589.71
49.85,4504.82,7073.11,-598025.25,222.41,83.72824096679688,1.0,295098.84,15860.51
50.37,4616.5,7264.73,-598006.55,225.83,83.565185546875,1.0,294257.12,16117.41
50.87,4734.43,7467.7,-597986.17,229.41,83.33197021484375,1.0,293381.81,16380.3
51.39,4854.2,7674.42,-597964.6,233.02,83.116455078125,1.0,292506.47,16638.34
51.91,4975.81,7885.04,-597942.27,236.66,82.96221923828125,1.0,291631.12,16891.52
52.43,5094.5,8091.37,-597920.56,240.19,82.76885986328125,1.0,290789.47,17130.24
52.93,5219.77,8309.76,-597896.68,243.88,82.51690673828125,1.0,289914.12,17372.76
53.45,5346.92,8532.1,-597871.51,247.6,82.346435546875,1.0,289038.81,17609.2
53.97,5475.97,8758.68,-597846.24,251.36,82.15621948242188,1.0,288163.47,17839.71
54.49,5601.85,8980.37,-597820.79,255.0,81.89505004882812,1.0,287321.78,18054.91
54.99,5734.65,9214.87,-597792.69,258.81,81.6580810546875,1.0,286446.47,18271.47
55.51,5864.16,9444.39,-597764.95,262.5,81.50881958007812,1.0,285604.78,18472.96
56.01,5995.47,9678.04,-597737.0,266.23,81.29632568359375,1.0,284763.09,18667.67
56.51,6133.95,9925.12,-597706.24,270.13,81.01351928710938,1.0,283887.78,18861.93
57.03,6268.96,10166.72,-597675.29,273.91,80.78887939453125,1.0,283046.09,19040.52
57.53,6411.31,10422.34,-597642.2,277.87,80.61572265625,1.0,282170.78,19217.55
58.05,6550.06,10672.34,-597610.03,281.71,80.37109375,1.0,281295.44,19384.79
58.57,6696.32,10936.13,-597574.64,285.71,80.07968139648438,1.0,280453.75,19534.3
59.07,6838.84,11193.29,-597539.13,289.57,79.84640502929688,1.0,279612.09,19671.66
59.57,6983.2,11454.01,-597502.74,293.43,79.663818359375,1.0,278736.75,19801.39
60.09,7141.19,11739.62,-597462.89,297.61,79.40545654296875,1.0,277861.41,19917.13
60.61,7289.4,12007.25,-597424.11,301.48,79.08187866210938,1.0,276986.06,20017.31
61.13,7445.47,12288.72,-597381.65,305.5,78.876220703125,1.0,276110.75,20101.61
61.65,7603.53,12574.05,-597339.25,309.53,78.6650390625,1.0,275269.06,20168.45
62.15,7763.57,12862.53,-597295.04,313.55,78.31478881835938,1.0,274393.75,20221.59
62.67,7919.3,13142.53,-597250.0,317.4,78.02633666992188,1.0,273552.06,20256.32
63.17,8076.84,13425.74,-597203.84,321.25,77.85748291015625,1.0,272710.38,20276.36
63.67,8242.59,13724.22,-597155.72,325.27,77.59817504882812,1.0,271835.06,20282.58
64.19,8403.81,14014.3,-597106.99,329.14,77.24429321289062,1.0,270959.72,20272.9
64.71,8579.94,14331.28,-597051.55,333.33,76.95709228515625,1.0,270084.38,20248.49
65.23,8744.91,14629.44,-596999.39,337.24,76.7777099609375,1.0,269242.72,20213.5
65.73,8918.4,14944.43,-596944.24,341.36,76.45339965820312,1.0,268367.38,20095.79
66.25,9087.09,15251.18,-596887.92,345.34,76.09808349609375,1.0,267525.69,19920.39
66.75,9257.61,15562.3,-596829.44,349.36,75.84674072265625,1.0,266684.03,19738.62
67.25,9429.98,15878.53,-596769.85,353.43,75.65322875976562,1.0,265842.34,19551.81
67.75,9611.23,16212.92,-596706.75,357.71,75.32296752929688,1.0,264967.03,19352.21
68.27,9787.43,16538.71,-596642.53,361.86,74.95352172851562,1.0,264125.34,19154.08
68.77,9972.67,16882.55,-596573.03,366.22,74.6756591796875,1.0,263250.0,18942.54
